Object ID,Código SIG,ID Tipo,Morada,Designação,Tipologia,MOBILIDADE_REDUZIDA,GlobalID,x,y
412,4508,4,Avenida da Liberdade,Lago Poente-Norte (""O Douro"") da Avenida da Liberdade,Lago,,e9dcb365-ab20-4564-9084-f5eba4ed671b,-1017898.77841229,4681354.30779578
413,2306,4,Campo Pequeno,Bebedouro no Parque Infantil do Jardim Marquês de Marialva,Bebedouro,NÃO,7870e8f0-d38a-4bc8-a978-4476e49e9e2d,-1018011.21795409,4684989.88602178
414,2307,4,Avenida de António José de Almeida,Bebedouro no Parque Infantil do Jardim Gomes de Amorim,Bebedouro,NÃO,456e5e03-391b-46cf-9223-054bbcb05fb7,-1017858.13522137,4684183.22369411
415,3363,4,Passeio de Ulisses,Lago Ilha no Passeio de Ulisses,Lago,,b383cfae-06b6-45b3-be7b-e0bf3d77601c,-1012281.94787726,4687561.46768718
416,3373,4,Avenida de Berlim,Bebedouro no Parque Urbano dos Olivais,Bebedouro,NÃO,b8a19f93-b4b4-4468-9edc-7daf5e497afc,-1015353.65238844,4688745.20252571
417,3374,4,Avenida Dr. Francisco Luís Gomes,Bebedouro junto ao Parque Infantil da Quinta Conde dos Arcos,Bebedouro,NÃO,b9d527e2-18a0-4c65-9534-72f437f6cbdf,-1013985.30374208,4689118.17243695
418,1134,4,Rua do Rio Zêzere(antiga Rua 7A do Bairro Padre Cruz),Bica 16 Cemitério de Carnide,Bica,,726834e2-a117-4fbd-b4de-1386232eb728,-1022639.55118753,4689373.93413766
419,1137,4,Rua do Rio Zêzere(antiga Rua 7A do Bairro Padre Cruz),Bica 19 Cemitério de Carnide,Bica,,c3a3179d-f474-42f2-b412-edc63552aecb,-1022822.37452575,4689264.23822798
420,1315,4,Eixo Central(Alto do Lumiar),Furo de captação Eixo Central F1,Furo de captação,,5813b962-e6ff-4acf-9710-dcf1fad0d210,-1018189.86670294,4690043.66395602
421,2130,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 2 no Parque da Belavista Central,Bebedouro,NÃO,85c6d1b0-04c8-4b58-b455-7b734a9b67c7,-1015989.94027373,4685874.93644729
422,2131,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 3 no Parque da Belavista Central,Bebedouro,NÃO,d1e1d171-8abb-4931-9c6c-6e0e6416f0a5,-1016111.11100078,4686056.47299937
423,2132,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 4 no Parque da Belavista Central,Bebedouro,NÃO,aa13e408-fc35-4104-aade-9c79e8047530,-1015926.38119044,4686013.23289082
424,2133,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 5 no Parque da Belavista Central,Bebedouro,NÃO,aeb3448d-1ed3-430f-9c60-102eeef365a8,-1015800.88063131,4686030.87287959
